class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,6,0,0,0,0,0,0,0,0,0,10,822,2440,0,0,0,910,0,60,0,0,0,8890,7708,8084,26,0,0,0,0,10,12,0,0,0,0,0,0,0,0,3272,0,1030,4,0,20,6,1430,782,0,0,0,2240,114,62,66,198,458,54,36,44,0,16980,0,4,2,0,910,76,7188,824,na,na,na,na,na,na,na,na,7960,6.35,16980,16980,17844,22,644,1628,16880,3290,1209600,112,0,4,0,948.48,0,1344,0,8,0,0,0,618,1604,1044,6,0,0,0,2,10,16980,0,1028,8,4,2,648,10,1134,242,196,0,0,22,544,104,0,0,0,0,1180,16,60,0,0,0,0,0,0,0,0,88,0,0,130,16,14,8,980,848,0,12,0,0,0,73.88,24,2438,630,32,12,42,30,32,56,0,0,0,0
neg,826,2,2130706432,16,0,0,0,0,0,0,25586,73478,1492,0,0,0,27310,0,0,0,890,2986,90466,79492,21232,6110,0,0,0,0,6,30,0,0,0,0,0,0,0,3992,96564,0,282,112,134,752,1116,44488,51804,1850,16,2,69948,16014,6830,2872,1610,912,674,658,424,614,112672,6,4,10,2,27310,866,7582,13028,na,na,na,na,na,na,na,na,20240,825.74,112672,112672,111284,298,0,10838,111640,100746,1209600,2492,16,10,0,49396.8,2520,47696.64,2,42,0,0,14414,40934,27314,14708,2560,622,4,0,6,10,112672,0,1242,52,1344,5116,13456,35038,40968,3318,22,0,18,48,51244,2882,0,164,0,0,51244,378,96,5450,3574,0,0,0,0,0,0,906,162,34,0,0,1848,338,151800,15152,0,0,0,0,0,1.96,654,52204,11546,8212,2882,4180,4776,4668,12028,60,0,0,0
neg,6,na,2,na,0,0,0,0,0,0,620,4052,2418,0,0,0,2984,0,30,0,0,0,15680,13142,20228,358,0,0,0,0,4,2,0,0,0,0,0,0,0,34,7056,0,1182,54,50,48,500,5256,0,0,0,0,5976,258,64,264,20,18,72,406,12,0,35938,0,2,0,0,2984,160,18004,2148,na,na,na,na,na,na,na,na,20060,5.83,35938,35938,35982,18,106,3420,35760,7090,1209600,0,na,na,na,1556.16,0,4417.92,na,na,0,0,22,4266,1956,846,0,0,0,0,na,10,35938,na,1132,6,12,20,30,450,5050,386,4,0,na,na,na,na,na,na,na,na,na,46,54,0,0,0,0,0,0,0,0,162,0,0,156,92,20,4,3700,394,0,12,0,0,0,na,na,5820,1110,46,34,52,28,0,0,0,0,0,0
neg,14,na,30,na,0,0,0,0,0,0,44,2576,2244,0,0,0,1662,0,96,0,0,0,6338,4002,13066,448,0,0,0,0,4,18,0,0,0,0,0,0,0,0,4864,0,48,24,36,36,1406,3314,0,0,0,0,3618,270,218,48,42,48,82,468,48,22,19418,0,2,2,0,1662,148,11388,1582,na,na,na,na,na,na,na,na,12900,14.54,19418,19418,24530,26,352,1816,19180,4864,1209600,0,na,na,na,1920.96,50.88,1849.92,0,8,0,0,0,2266,2324,274,0,0,0,0,na,0,19418,na,1048,10,14,56,724,2590,422,0,0,0,na,na,na,na,na,na,na,na,na,24,56,0,0,30,88,0,0,0,0,154,0,0,0,0,72,32,17520,2144,0,10,0,0,0,32.82,38,3052,1376,152,38,62,84,72,28,0,0,0,0
neg,24,0,8,na,0,0,0,0,0,52,4350,4202,1518,0,0,0,3198,0,32,0,1466,2798,23564,20632,21430,404,0,0,0,0,36,0,0,0,0,0,0,0,0,420,9702,0,1696,4,6,16,40,1918,5376,1066,0,0,8690,208,118,274,578,150,102,2,0,0,46518,2,2,0,0,3198,282,17960,3182,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,20940,23.17,46518,46518,48746,37.0,0,4402,46000,10232,1209600,0,na,na,na,2792.64,371.52,5407.68,0,16,0,14,4744,2396,2504,464,0,0,0,0,na,0,46518,0,1644,12,16,10,8,1482,6088,788,74,0,na,na,na,na,na,na,na,na,na,52,122,0,0,30,392,0,0,0,0,394,0,0,0,0,176,32,7240,724,0,0,0,0,0,na,80,7538,2330,150,6,10,26,18,44,0,0,0,0
neg,1426,na,8,na,0,0,0,0,0,0,124,56214,27704,0,0,0,37934,0,0,0,0,0,80292,73098,14396,4114,0,0,0,0,12,4,0,0,0,0,0,0,33826,48854,1362,0,1532,84,72,232,734,81388,0,0,0,0,33822,36660,8684,2956,1124,540,186,70,0,0,94746,4,440,96,4,37934,890,7720,6622,na,na,na,na,na,na,na,na,14120,1425.11,94746,94746,95716,288,318,9252,94400,84042,1209600,0,na,na,na,72099.84,0,10475.52,0,22,0,0,0,39484,41754,2508,290,6,0,0,na,8,94746,na,1584,20,240,3686,1456,12006,61998,3000,52,0,na,na,na,na,na,na,na,na,na,180,86,0,0,0,2,0,0,0,0,506,244,58,0,0,1372,300,334720,33890,27856,74,0,0,425130,98.68,70,12740,7852,3404,994,3514,55020,498,20,0,0,0,0
neg,634,na,24,na,0,0,0,0,0,15698,18772,7374,3228,0,0,0,10672,0,3790,0,7564,10276,31740,30080,9866,1960,2,0,0,0,36,28,0,0,0,0,0,0,0,13324,31748,0,1040,46,54,96,3726,40110,0,0,0,0,16472,15920,10848,1068,122,70,252,318,2,0,49208,0,2,74,4,10672,372,1826,7852,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,9600,633.43,49208,49208,49734,177.0,440,4734,48860,45072,1209600,0,na,na,na,29648.64,0,14339.52,na,na,0,3278,30824,7358,2906,666,40,0,0,0,na,0,49208,na,984,12,610,3008,6880,33258,320,0,0,0,na,na,na,na,na,na,na,na,na,74,36,0,0,0,0,0,0,0,0,498,10,4,194,104,328,84,114300,11940,5404,8,0,0,0,na,na,15460,3118,1538,732,1588,1802,3960,16874,0,0,0,0
neg,42200,na,0,na,0,0,0,0,0,0,131774,1144680,1561348,858744,516180,3338,1588006,0,0,0,1056,1426,3808498,3400388,522626,336472,0,0,0,0,0,0,0,0,0,0,0,3822,237246,324586,3650410,0,3556,454,976,5630,1906200,2262318,36926,4,0,0,1735172,1181824,400546,280778,214112,171652,188904,43076,0,0,4333130,0,1546,188,0,1588006,42182,207730,313618,123740,131460,182620,na,na,na,na,na,75220,42199.52,4333130,4333130,4343600,14663.0,308590,64038,694640,4216064,1209600,0,na,na,na,2818535.04,771023.04,617514.24,0,0,0,0,23948,642908,1643410,1420414,443764,34580,6944,96,na,0,4333130,na,7870,1042,13676,635414,283842,2652412,605308,16500,0,0,na,na,na,na,na,na,na,na,na,9148,116,0,0,3320,773966,0,0,0,0,23480,0,0,0,0,0,0,0,0,0,0,0,0,3519480,1780.18,2210,1449998,813384,543668,275436,502462,350252,152348,62738,64900,878,0,0
neg,26,na,206,60,0,0,0,0,0,10160,14484,2328,1022,0,0,0,4188,0,0,0,10138,16456,10518,15402,18438,1542,6,0,0,0,190,124,0,0,0,0,0,0,0,2364,25624,2,1018,8,12,16,34,26888,14,0,0,0,24422,1900,378,316,188,120,192,444,6,22,39132,4,2,8,0,4188,306,9910,8470,na,na,na,na,na,na,na,na,18200,25.36,39132,39132,39668,61.0,0,3746,38860,27984,1209600,576,0,10,0,4404.48,0,22518.72,na,na,0,13160,10882,2444,640,860,2,0,0,0,30,40,39132,na,1026,12,34,366,9434,15132,1984,0,0,0,144,392,3988,48,0,4,0,0,4986,70,42,0,0,0,0,0,0,0,0,546,0,0,1240,124,144,46,3200,324,430,44,0,0,0,na,na,23802,2798,610,180,294,82,36,188,0,0,0,0
neg,51156,na,2130706432,54,0,0,0,0,0,0,398,139692,2162960,1184012,96902,844,1612312,0,0,0,0,0,3237444,2849042,553222,309870,0,0,0,0,116,82,0,0,0,0,0,13198,1485618,1676960,409032,0,5178,5118,10460,24840,114188,3424044,980,0,0,0,1330534,781050,323714,247894,194888,169778,238502,298448,0,0,3791270,56,662,878,4,1612312,44796,298320,253618,129580,200280,201400,na,na,na,na,na,15420,51155.47,3791270,3791270,3769602,22664,6872,11322,154300,3584808,1209600,109824,2,66,0,2984124.48,0,597497.28,88,1276,0,0,0,7712,639914,2054596,838022,39870,4470,224,26,30,3791270,na,5710,662,86234,296612,186144,2334606,654934,19692,212,2,82,214,2447564,59456,0,12408,0,10,3015670,3144,212,0,0,0,0,0,0,0,0,27228,50780,24108,0,0,68804,17076,12774220,1343226,0,0,0,0,1693080,1473.12,1516,625042,611988,473388,232474,509268,536346,440712,120866,33866,858,0,0
neg,394,0,2130706432,24,0,0,0,0,0,0,18652,16284,4078,0,0,0,16542,0,0,0,790,1194,40942,32370,29432,4524,0,0,0,0,34,6,0,0,0,0,0,0,0,3590,35424,0,146,36,46,310,1322,13952,22924,278,0,0,26062,7176,2186,1284,842,744,314,216,52,138,71226,10,4,2,0,16542,626,20122,9092,na,na,na,na,na,na,na,na,28760,393.73,71226,71226,70604,181.0,0,6800,70680,39224,1209600,1362,2,12,0,23337.6,721.92,14204.16,6,26,0,0,10776,17690,9222,1010,310,6,0,0,0,8,71226,0,1002,14,46,3066,2970,28824,3076,16,0,0,18,6,26076,28,0,0,0,0,26288,204,118,0,0,40,1926,0,0,0,0,632,6,12,27064,3406,552,170,119000,11912,69842,102,0,0,0,1.54,90,16314,5582,2874,1192,2758,3426,2646,4216,6,0,0,0
neg,1163444,0,na,8838,0,0,0,0,0,0,0,0,0,0,0,0,25257746,7522,138,na,25348802,40946186,32828124,48865452,47248386,5471320,244,0,696,0,28392,25220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105427122,66730,65184,351502,2276,25257746,665310,33854406,13352188,583540,601440,685700,622420,589580,570560,554340,572960,100580,1163443.07,105427122,105427122,58563208,0,4832,na,120120,40520618,1209600,2139144,7324,17512,0,64379586.24,358406.4,7457984.64,0,0,0,0,0,0,0,0,0,0,0,0,10290,10844,105427122,0,0,0,0,0,0,0,0,0,0,0,5860,76536,58388648,33506572,144,32472,0,0,58823500,73760,4296,na,na,na,na,na,na,na,na,930714,135342,43964,3244713346,24834468,2422270,409682,185400,128564,76116168,134386,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,252,2,32,26,0,0,0,0,0,0,214,25756,3884,0,0,0,10872,0,0,0,0,0,25448,20442,11984,2114,0,0,0,0,18,4,0,0,0,0,0,0,0,0,29854,0,1220,20,30,32,54,28004,494,0,0,0,17802,8346,1782,564,444,210,504,116,18,68,37490,6,2,4,0,10872,526,5428,6472,na,na,na,na,na,na,na,na,11660,251.01,37490,37490,37628,104,0,3538,37140,29924,1209600,1202,0,8,0,17169.6,0,12768,0,22,0,0,604,14320,11000,3644,286,0,0,0,20,26,37490,0,1186,30,158,192,4534,8092,13942,1630,90,0,30,4,16188,48,0,0,0,0,17588,98,36,0,0,0,0,0,0,0,0,392,0,0,5464,1116,244,208,1800,180,0,26,0,0,0,120.26,78,13934,6454,1922,584,1148,1052,1664,3096,0,0,0,0
neg,52932,na,0,na,0,0,0,0,0,0,2396,254320,2081274,889726,29790,0,1580858,0,0,0,0,0,3077114,2873628,675184,169994,0,0,0,0,0,0,0,0,0,0,0,103784,1760518,896646,496558,0,2338,330,674,178432,2709880,365830,22,0,0,0,1264940,678130,373434,264224,178148,151164,336494,10972,0,0,3752570,0,886,894,178,1580858,32844,533874,140762,158940,87520,409980,na,na,na,na,na,14560,52931.36,3752570,3752570,3762686,14951.0,506690,9886,119000,3257506,1209600,0,na,na,na,2691183.36,0,562797.12,0,0,0,0,0,54256,674834,1600440,869184,50140,8024,628,na,0,3752570,na,4640,464,20974,456278,233840,2221460,313282,6568,0,0,na,na,na,na,na,na,na,na,na,2058,56,0,0,0,0,0,0,0,0,14898,40260,7752,0,0,112260,20630,6101680,905250,0,0,0,0,13239350,843.76,998,583154,432400,312786,165398,332736,307044,243522,259708,574238,46520,0,0
neg,79606,na,2130706432,1828,0,0,0,0,0,0,69706,2299292,2042672,108722,1648,0,2056046,0,0,0,848,1426,4086236,3568402,532314,454280,0,0,0,0,1600,908,0,0,0,0,0,124608,2034566,2202536,160330,0,2394,1230,2666,370976,3581162,563008,604,0,0,0,1121682,926910,349322,258114,227524,256390,1317732,64366,0,0,4620152,0,22,108,24,2056046,59916,264520,266276,124140,129720,175000,na,na,na,na,na,95320,79606.26,4620152,4620152,4640948,31017.0,486,93786,981960,4522040,1209600,198122,2,76,0,4055006.4,0,462769.92,0,0,0,0,702,233652,1777352,2083876,380896,32126,11396,2040,8698,8906,4620152,na,5822,902,2772,361850,209312,3096422,840186,4774,0,0,3286,1852,4027720,30366,0,118604,0,26,4087466,3428,108,0,0,0,0,0,0,0,0,31202,61162,23678,0,0,152798,40108,3583800,686744,0,0,0,0,272310,1484.4,1848,498474,734482,601848,286616,529050,376370,270354,193388,651574,379884,0,0
neg,4602,0,38,20,0,0,0,0,19766,75120,67956,112738,40792,1546,0,0,118684,0,18,0,60516,78564,279716,302966,131392,16468,0,0,0,0,278,52,0,0,0,0,0,0,0,84538,233380,0,2584,470,604,540,1616,110806,95520,99306,6472,0,114068,49594,82234,34376,13818,7758,5460,3930,1766,4914,471798,26,76,252,2,118684,2766,83224,46020,na,na,na,na,na,na,na,na,129420,4601.67,471798,471798,462430,1697.0,0,45982,470120,318202,1209600,4924,0,38,0,218123.52,34304.64,64368.96,28,216,4770,39834,20088,31886,64224,100014,49056,7994,52,0,48,52,471798,0,2024,150,4098,12236,29458,61376,202802,5722,52,0,32,186,218272,139826,0,4,0,0,223582,446,306,0,0,620,116378,0,0,0,0,3062,484,108,0,0,4186,710,140,14,0,0,0,0,3601670,565.32,424,101626,24826,12776,5838,10628,10618,16292,134362,952,0,0,0
neg,30,2,22,14,0,0,0,0,0,0,466,5042,3118,0,0,0,4504,0,70,0,0,0,24450,21172,15406,282,0,0,0,0,16,24,0,0,0,0,0,0,0,0,8626,0,1246,26,34,42,126,7150,2,0,0,0,6632,482,160,320,90,106,522,120,60,134,39892,0,8,10,0,4504,304,12460,2830,na,na,na,na,na,na,na,na,15200,30.62,39892,39892,39660,34,22,3796,39600,8686,1209600,462,0,4,0,3589.44,0,3937.92,2,30,0,0,0,3306,4146,596,578,0,0,0,4,10,39892,0,1270,14,26,308,190,2008,3828,946,36,0,16,32,1986,184,0,0,0,0,3938,62,152,0,0,0,0,0,0,0,0,248,0,0,2056,1492,142,54,3460,412,7124,56,0,0,0,112.5,72,5438,2544,406,78,76,28,22,34,0,0,0,0
neg,12,na,8,8,0,0,0,0,0,1002,10534,1708,1914,0,0,0,2574,0,306,0,3246,5408,17980,17842,16402,94,0,0,0,0,28,16,0,0,0,0,0,0,0,0,15158,0,2010,20,14,30,270,12814,0,0,0,0,11908,2042,108,334,44,62,144,436,70,10,37668,0,2,0,0,2574,264,12738,3564,na,na,na,na,na,na,na,na,16100,11.13,37668,37668,39990,36,0,3616,37380,15158,1209600,466,0,10,0,4102.08,0,9076.8,na,na,0,1002,8732,3218,548,1138,520,0,0,0,2,12,37668,na,1998,12,22,24,8,3198,9340,554,2,0,12,26,3930,84,0,2,0,0,4856,86,82,0,0,0,0,0,0,0,0,364,0,0,0,0,68,24,800,80,0,0,0,0,0,na,na,11320,3692,42,10,12,22,22,38,0,0,0,0
neg,39740,na,2130706434,138,0,0,0,0,0,0,42558,1311090,992662,30422,12,0,1023594,0,0,0,0,0,2178542,1942516,347086,188018,0,0,0,0,92,304,0,0,0,0,0,15510,1042456,593350,725428,0,2930,246,290,446,9236,2363142,454,0,0,0,668100,908158,342334,200640,121038,72314,38122,25652,386,0,2526112,16,38,24,2,1023594,28312,222110,122890,183220,141600,na,na,na,na,na,na,17560,39739.4,2526112,2526112,2532294,11298,69256,7762,100080,2376744,1209600,46698,2,42,0,2150344.32,0,223032.96,0,712,0,0,5608,677564,1341362,329982,16758,4902,568,0,0,6,2526112,na,4688,360,89892,111580,87636,1632658,437420,12396,114,0,156,614,1703656,5226,0,724,0,10,2163086,1108,180,0,0,0,0,0,0,0,0,14962,34562,15100,0,0,56136,11912,16778660,1840702,0,0,0,0,0,614,784,239208,316452,253996,174742,419550,423978,339020,153880,55918,0,0,0
